Time (s),Throttle,Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W),Motor_Name,Propeller_Name
0.0,0.0,0.0,-0.0004940217082853,,7.9518726085634,0.048261773680314,0.3837714761691749,,,,,Gemfan M2306L 2200kv Brushless Outrunner Motor CCW,Self Tightening Propeller 6032 Red CW
17.5506484,0.42857142857142855,4429.999999999974,0.0405965258831751,,7.939431690843,0.63284184425901,5.024404593601514,,,,8.079867997667646,Gemfan M2306L 2200kv Brushless Outrunner Motor CCW,Self Tightening Propeller 6032 Red CW
21.4508622,0.4642857142857143,5000.000000000011,0.0519353985054284,,7.9346291903052,0.84000501525123,6.665128314015174,,,,7.792107827274791,Gemfan M2306L 2200kv Brushless Outrunner Motor CCW,Self Tightening Propeller 6032 Red CW
25.3511156,0.5,5534.000000000027,0.0640586963630669,,7.9288267383848,1.0624294029578,8.423818657818005,,,,7.604472385408617,Gemfan M2306L 2200kv Brushless Outrunner Motor CCW,Self Tightening Propeller 6032 Red CW
29.2510418,0.5357142857142857,5989.999999999981,0.0761757834961276,,7.9220577344186,1.3006479382527,10.303808058990407,,,,7.392973846175423,Gemfan M2306L 2200kv Brushless Outrunner Motor CCW,Self Tightening Propeller 6032 Red CW
33.1515078,0.5714285714285714,6432.999999999987,0.0876627686037291,,7.9159598146485,1.5479472555439,12.253488270080943,,,,7.15410719556269,Gemfan M2306L 2200kv Brushless Outrunner Motor CCW,Self Tightening Propeller 6032 Red CW
37.0516928,0.6071428571428571,6844.999999999989,0.1002722841250814,,7.9075268192011,1.8307038885491,14.476340096717747,,,,6.926632246490009,Gemfan M2306L 2200kv Brushless Outrunner Motor CCW,Self Tightening Propeller 6032 Red CW
40.9513172,0.6428571428571429,7287.999999999996,0.1129432279718252,,7.8983573901936,2.1610668789405,17.068878553982316,,,,6.616909694133047,Gemfan M2306L 2200kv Brushless Outrunner Motor CCW,Self Tightening Propeller 6032 Red CW
44.8521234,0.6785714285714286,7747.999999999964,0.1284863864379681,,7.8876669193177,2.5633886593444,20.21915592966497,,,,6.354685966364034,Gemfan M2306L 2200kv Brushless Outrunner Motor CCW,Self Tightening Propeller 6032 Red CW
48.7516426,0.7142857142857143,8160.999999999968,0.1434352533596386,,7.8753271831675,3.0014929845717,23.63773929148406,,,,6.068061399226697,Gemfan M2306L 2200kv Brushless Outrunner Motor CCW,Self Tightening Propeller 6032 Red CW
52.9017082,0.7857142857142857,9126.999999999956,0.1789474082178113,,7.8497230039245,4.0696387227538,31.945536699662423,,,,5.601640376250194,Gemfan M2306L 2200kv Brushless Outrunner Motor CCW,Self Tightening Propeller 6032 Red CW
57.0519842,0.8571428571428571,10040.999999999964,0.2182315917870832,,7.8174144341821,5.3342490080022,41.70003519067794,,,,5.2333670892409465,Gemfan M2306L 2200kv Brushless Outrunner Motor CCW,Self Tightening Propeller 6032 Red CW
61.2022264,0.9285714285714286,10980.000000000342,0.2625992207403547,,7.777276157863,6.8700006904994,53.429892574723326,,,,4.914837146136908,Gemfan M2306L 2200kv Brushless Outrunner Motor CCW,Self Tightening Propeller 6032 Red CW
65.3523934,1.0,11900.000000000467,0.3076835506558713,,7.7298510895265,8.7069363096132,67.30332111930143,,,,4.571595361698028,Gemfan M2306L 2200kv Brushless Outrunner Motor CCW,Self Tightening Propeller 6032 Red CW
